"altura","peso","imc","sexo","escolaridade","profissao","fumante","fumante.n","salario","carro","filho"
"1",1.38,50.17,26.34,"M","PósDoc","Humanas","não",0,2324.85,3,1
"2",1.53,56.11,23.97,"F","2º Grau","Humanas","sim",1,2617.92,3,2
"3",1.61,59.34,22.89,"F","Mestrado","Exatas","sim",1,2740.78,1,1
"4",1.27,45.62,28.28,"F","1º Grau","Exatas","sim",1,3104.41,3,2
"5",1.54,56.72,23.92,"M","1º Grau","Exatas","sim",1,2512.12,2,1
"6",1.55,57.02,23.73,"F","Analfabeto","Exatas","sim",1,2379.92,0,2
"7",1.44,52.7,25.41,"F","Mestrado","Exatas","não",0,3310.02,3,1
"8",1.45,52.81,25.12,"M","Mestrado","Exatas","não",0,3703.25,1,1
"9",1.44,52.74,25.43,"M","1º Grau","Exatas","sim",1,3567.2,2,0
"10",1.41,51.44,25.87,"M","Analfabeto","Biológicas","não",0,2492.34,2,0
"11",1.45,53.09,25.25,"F","Doutorado","Biológicas","sim",1,2492.9,1,2
"12",1.4,51.01,26.03,"M","2º Grau","Biológicas","não",0,3309.57,2,1
"13",1.42,51.89,25.73,"F","1º Grau","Humanas","não",0,2947.28,2,0
"14",1.51,55.26,24.24,"F","PósDoc","Biológicas","sim",1,3088.46,1,1
"15",1.6,58.84,22.98,"M","PósDoc","Humanas","não",0,3085.52,0,0
"16",1.49,54.56,24.58,"M","Analfabeto","Humanas","sim",1,3437.2,2,2
"17",1.45,52.96,25.19,"F","PósDoc","Humanas","não",0,2822.01,3,0
"18",1.41,51.36,25.83,"F","2º Grau","Exatas","não",0,3849.53,2,0
"19",1.42,51.65,25.61,"M","Analfabeto","Exatas","não",0,2798.55,1,0
"20",1.74,64.66,21.36,"M","2º Grau","Humanas","não",0,3555.84,0,2
"21",1.51,55.54,24.36,"F","3º Grau","Exatas","não",0,3267.04,1,1
"22",1.45,53.04,25.23,"M","Analfabeto","Biológicas","não",0,2825.04,1,2
