horario;core1;core2;CPU Total;temp1;temp2;temptotal
09/24/2020 00:58:07;125;1015625;11328125;40;42;42
09/24/2020 00:58:08;1640625;1640625;1640625;40;43;43
09/24/2020 00:58:09;3046875;3125;30859375;40;42;42
09/24/2020 00:58:10;21875;140625;1796875;40;43;43
09/24/2020 00:58:11;296875;2890625;29296875;40;42;42
09/24/2020 00:58:12;4375;546875;4921875;41;44;44
09/24/2020 00:58:13;1953125;1875;19140625;40;43;43
09/24/2020 00:58:14;3671875;2890625;328125;40;43;42
09/24/2020 00:58:15;2265625;203125;21484375;40;43;43
09/24/2020 00:58:16;1875;1484375;16796875;40;43;43
09/24/2020 00:58:17;4765625;515625;49609375;40;42;42
09/24/2020 00:58:18;453125;4453125;44921875;40;43;43
09/24/2020 00:58:19;171875;1328125;15234375;41;42;42
09/24/2020 00:58:20;3125;2734375;29296875;41;43;43
09/24/2020 00:58:21;2578125;1640625;2109375;40;42;42
09/24/2020 00:58:22;328125;296875;3125;40;42;42
09/24/2020 00:58:23;3046875;3515625;328125;40;42;42
09/24/2020 00:58:24;2578125;1328125;1953125;40;42;42
09/24/2020 00:58:25;21875;21875;21875;40;43;43
09/24/2020 00:58:26;2734375;234375;25390625;40;42;42
09/24/2020 00:58:27;453125;4453125;44921875;41;43;43
09/24/2020 00:58:28;234375;2421875;23828125;40;42;42
09/24/2020 00:58:29;3046875;296875;30078125;40;43;43
09/24/2020 00:58:30;375;375;375;40;43;42
09/24/2020 00:58:31;140625;859375;11328125;40;42;42
09/24/2020 00:58:32;171875;1953125;18359375;40;42;42
09/24/2020 00:58:33;375;4140625;39453125;40;42;42
09/24/2020 00:58:34;171875;171875;171875;40;42;42
09/24/2020 00:58:35;2265625;1875;20703125;40;43;43
09/24/2020 00:58:36;328125;372115364;3501202;40;42;42
09/24/2020 00:58:37;3230769;364543266;3438101;42;43;42
09/24/2020 00:58:38;301587276;222222214;261904716;40;42;42
09/24/2020 00:58:39;21875;234375;2265625;40;42;42
09/24/2020 00:58:40;3984375;421875;41015625;41;43;43
09/24/2020 00:58:41;2109375;125;16796875;40;42;42
09/24/2020 00:58:42;171875;9375;1328125;40;42;42
09/24/2020 00:59:06;2734375;1953125;234375;40;43;43
09/24/2020 00:59:07;2109375;3125;26171875;40;43;43
09/24/2020 00:59:08;34375;3671875;35546875;40;42;42
09/24/2020 00:59:09;3203125;21875;26953125;40;43;43
09/24/2020 00:59:10;264285679;3571428;310714245;47;49;49
09/24/2020 00:59:11;406779633;389830475;398305054;40;43;43
09/24/2020 00:59:12;169230766;1076923;138461533;41;42;42
09/24/2020 00:59:13;171875;546875;11328125;41;42;42
09/24/2020 00:59:14;3984375;3828125;390625;40;43;43
09/24/2020 00:59:15;375;390625;3828125;41;43;43
09/24/2020 00:59:16;15625;1484375;15234375;40;42;42
